,media,date,A1,A2,"agreement 
(K & R)","AQ related
Both 1",url,heading,matches
55,TOI,2016-06-26,1,1,1,1,http://timesofindia.indiatimes.com//city/ahmedabad/City-needs-1-81-crore-trees-to-breathe-easy/articleshow/52921715.cms,City needs 1.81 crore trees to breathe easy,"{'carbon dioxide': 1, 'co2': 9, 'carbon monoxide': 2}"
56,Hindu,2017-01-07,1,0,0,0,https://www.thehindu.com/business/Industry/Eveready-eyes-air-purifiers-as-appliances-find-takers/article17005422.ece,Eveready eyes air purifiers as appliances find takers,{'air pollution': 1}
57,TOI,2021-04-18,0,0,1,0,http://timesofindia.indiatimes.com//city/allahabad/pmc-undertakes-massive-sanitisation-drive-amid-surge-in-covid-19-cases/articleshow/82122544.cms,PMC undertakes massive sanitisation drive amid surge in Covid-19 cases,{'smog': 1}
58,TOI,2013-11-03,1,1,1,1,http://timesofindia.indiatimes.com//city/lucknow/Toxic-gases-emitted-by-firecrackers-harmful-for-asthma-patients-Experts/articleshow/25151436.cms,Toxic gases emitted by firecrackers harmful for asthma patients: Experts,{'air pollutants': 1}
59,TOI,2015-12-16,1,1,1,1,http://timesofindia.indiatimes.com//city/amritsar/CSE-State-Indias-cancer-capital/articleshow/50197826.cms,CSE: State India's cancer capital,{'air pollution': 1}
60,TOI,2019-11-21,1,1,1,1,http://timesofindia.indiatimes.com//city/agra/404-farmers-in-aligarh-mathura-fined-for-stubble-burning/articleshow/72149015.cms,"404 farmers in Aligarh, Mathura fined for stubble burning","{'stubble burning': 3, 'crop burning': 1}"
61,TOI,2018-01-30,1,1,1,1,http://timesofindia.indiatimes.com//city/noida/farmers-seek-nrega-wages-to-clear-crop-waste/articleshow/62701744.cms,Farmers seek NREGA wages to clear crop waste,"{'air pollution': 1, 'crop burning': 1}"
62,Hindu,2020-12-31,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/on-new-years-eve-air-quality-very-poor-in-ncr-cities/article33465232.ece,"On New Year’s eve, air quality ‘very poor’ in NCR cities","{'aqi': 7, 'air quality': 2, 'pm 2.5': 1, 'pm 10': 1}"
63,TOI,2020-09-29,1,1,1,1,http://timesofindia.indiatimes.com//city/chandigarh/dc-bans-paddy-harvesting-without-straw-mgmt-system/articleshow/78374178.cms,DC bans paddy harvesting without straw mgmt system,{'stubble burning': 1}
64,TOI,2019-02-06,1,1,1,1,http://timesofindia.indiatimes.com//city/gurgaon/pollution-high-at-upscale-addresses-in-gurgaon-says-study/articleshow/67859158.cms,"Pollution high at upscale addresses in Gurugram, says study","{'air quality': 8, 'aqi': 8, 'air pollution': 2}"
65,TOI,2020-11-20,1,1,1,1,http://timesofindia.indiatimes.com//city/agra/rainfall-helps-improve-agra-aqi-but-still-worse-than-last-yr/articleshow/79309472.cms,Rainfall helps improve Agra AQI but still worse than last year,"{'aqi': 5, 'air quality': 2, 'air pollution': 1, 'stubble burning': 1}"
66,TOI,2017-10-04,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/cm-calls-urgent-meet-on-metro-fare-hike/articleshow/60930633.cms,CM calls urgent meet on Metro fare hike,{'air pollution': 1}
67,Hindu,2019-09-10,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/adopt-measures-to-monitor-air-quality-haryana-cs/article29378242.ece,Adopt measures to monitor air quality: Haryana CS,{'air quality': 1}
68,TOI,2015-02-10,1,1,1,1,http://timesofindia.indiatimes.com//city/bengaluru/Green-cover-halves-as-concrete-jungle-grows-13-times-over/articleshow/46179381.cms,Green cover halves as concrete jungle grows 13 times over,{'air pollutants': 1}
69,TOI,2015-03-14,1,1,1,1,http://timesofindia.indiatimes.com//city/jaipur/Asthma-among-kids-doubled-in-past-one-decade-Experts/articleshow/46559661.cms,Asthma among kids doubled in past one decade: Experts,{'pm10': 2}
70,TOI,2017-12-03,0,1,0,0,http://timesofindia.indiatimes.com//city/navi-mumbai/taloja-waste-treatment-plant-repairs-begin/articleshow/61896806.cms,Taloja waste treatment plant repairs begin,{'air pollution': 1}
71,TOI,2018-07-31,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/hc-emergency-efforts-needed-to-clear-drains/articleshow/65204913.cms,Delhi HC: Emergency efforts needed to clear drains,{'air pollution': 1}
72,TOI,2020-02-27,1,1,1,1,http://timesofindia.indiatimes.com//city/nashik/notices-served-to-92-industrial-units-for-air-pollution/articleshow/74325344.cms,Notices served to 92 industrial units for air pollution,{'air pollution': 4}
73,TOI,2021-02-18,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/mercury-to-stay-on-higher-side-in-delhi-for-the-next-five-days/articleshow/81078906.cms,Mercury to stay on higher side in Delhi for the next five days,"{'air quality': 1, 'aqi': 2}"
74,Hindu,2020-09-02,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/august-2020-had-four-good-air-quality-days/article32500322.ece,August 2020 had four ‘good’ air quality days,"{'aqi': 6, 'air quality': 5}"
75,TOI,2014-08-14,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/Stations-to-measure-real-time-air-quality-at-dump-yards/articleshow/40218499.cms,Stations to measure real time air quality at dump yards,"{'air pollution': 5, 'air quality': 3}"
76,TOI,2020-11-17,1,1,1,1,http://timesofindia.indiatimes.com//business/india-business/demand-for-air-purifiers-shoots-up/articleshow/79254469.cms,Demand for air purifiers shoots up,"{'air quality': 1, 'smog': 1, 'pm 2.5': 1, 'aqi': 1}"
77,Hindu,2015-12-01,1,1,1,1,https://www.thehindu.com/news/cities/Kochi/free-drinking-water-top-priority-in-eloor/article7935598.ece,Free drinking water top priority in Eloor,{'air pollution': 1}
78,Hindu,2017-10-31,1,1,1,1,https://www.thehindu.com/sci-tech/energy-and-environment/climate-change-taking-a-toll-on-global-health-lancet/article19951819.ece,Climate change taking a toll on global health: Lancet,{'air pollution': 2}
79,TOI,2020-11-20,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/delhi-mercury-at-9-4c-seasons-lowest/articleshow/79313504.cms,"Delhi: Mercury at 9.4°C, season’s lowest","{'air quality': 3, 'aqi': 2, 'stubble burning': 1, 'pm2.5': 1}"
80,TOI,2019-11-25,1,1,1,1,http://timesofindia.indiatimes.com//city/jaipur/mild-showers-in-many-places-winter-yet-to-set-in/articleshow/72214094.cms,"Mild showers in many places, winter yet to set in","{'smog': 1, 'air quality': 1, 'aqi': 1}"
81,TOI,2010-06-05,1,1,1,1,http://timesofindia.indiatimes.com//home/environment/pollution/Every-Breath-You-Take/articleshow/6012887.cms,Every Breath You Take,"{'air pollution': 5, 'air quality': 1, 'pm10': 5, 'ozone': 1, 'nitrogen dioxide': 1}"
82,TOI,2018-10-10,1,1,1,1,http://timesofindia.indiatimes.com//life-style/spotlight/student-researchers-analyse-ozone-concentration-in-bengaluru/articleshow/66134890.cms,Student researchers analyse ozone concentration in Bengaluru,{'ozone': 6}
83,Hindu,2017-04-17,1,1,1,1,https://www.thehindu.com/opinion/op-ed/carpool-for-cleaner-air/article18072106.ece,Carpool for cleaner air,"{'air pollution': 8, 'pm2.5': 1}"
84,TOI,2018-12-03,1,1,1,1,http://timesofindia.indiatimes.com//city/gurgaon/gurgaon-to-get-15-new-stations-for-better-air-quality-study/articleshow/66912391.cms,Gurgaon to get 15 new stations for better air quality study,"{'air quality': 4, 'pm2.5': 2, 'pm10': 2, 'aqi': 3}"
85,TOI,2011-07-27,1,1,1,1,http://timesofindia.indiatimes.com//city/pune/Environment-report-highlights-the-negative-side-of-Pune-growth-story/articleshow/9378442.cms,Environment report highlights the negative side of Pune growth story,"{'so2': 1, 'pm10': 2}"
86,Hindu,2021-01-24,1,1,1,1,https://www.thehindu.com/sci-tech/energy-and-environment/the-hindu-explains-what-are-the-implications-of-us-president-joe-biden-rejoining-the-paris-climate-agreement/article33646234.ece,The Hindu Explains | What are the implications of U.S. President Joe Biden rejoining the Paris climate agreement?,"{'air quality': 1, 'co2': 1, 'carbon dioxide': 1}"
87,TOI,2015-07-14,1,1,1,1,http://timesofindia.indiatimes.com//home/environment/pollution/Petitioner-rebuts-govt-arguments/articleshow/48061452.cms,Petitioner rebuts govt arguments,"{'air pollution': 1, 'pm 2.5': 1, 'air quality': 2, 'pm10': 1}"
88,Hindu,2014-05-04,1,1,1,1,https://www.thehindu.com/news/cities/bangalore/needed-basic-amenities/article5976073.ece,Needed: basic amenities,{'air pollution': 1}
89,TOI,2019-03-17,1,1,1,1,http://timesofindia.indiatimes.com//city/ludhiana/57-drop-in-stubble-burning-in-punjab-pau-vc/articleshow/68444788.cms,57% drop in stubble burning in Punjab: PAU VC,{'stubble burning': 1}
90,TOI,2011-09-06,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/For-20-yrs-Rajghat-gas-plants-lacked-green-nod/articleshow/9878082.cms,"For 20 yrs, Rajghat, gas plants lacked green nod",{'air pollutants': 1}
91,TOI,2020-02-05,1,1,1,1,http://timesofindia.indiatimes.com//city/dehradun/ukhand-to-monitor-air-quality-across-all-13-dists/articleshow/73943256.cms,Uttarakhand to monitor air quality across all 13 districts,"{'air pollution': 1, 'air quality': 11, 'pm 2.5': 1, 'pm 10': 1}"
92,Hindu,2017-08-12,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/delhi-asks-neighbours-to-control-crop-burning/article19482813.ece,Delhi asks neighbours to control crop burning,"{'air pollution': 4, 'crop burning': 3, 'air quality': 1}"
93,TOI,2016-12-10,1,1,1,1,http://timesofindia.indiatimes.com//city/thane/thane-municipal-corporation-plans-to-install-mega-air-purifiers-at-busy-junctions/articleshow/55914577.cms,Thane Municipal Corporation plans to install mega air purifiers at busy junctions,"{'air quality': 1, 'air pollution': 1}"
94,Hindu,2020-11-15,1,1,1,1,https://www.thehindu.com/news/cities/Tiruchirapalli/40-booked-for-violating-cracker-bursting-norms/article33102859.ece,40 booked for violating cracker bursting norms,"{'air quality': 2, 'nitrogen dioxide': 1, 'sulphur dioxide': 1}"
95,TOI,2020-10-11,1,1,1,1,http://timesofindia.indiatimes.com//city/nagpur/environment-ministry-allows-thermal-power-plants-to-use-high-ash-coal/articleshow/78596268.cms,Environment ministry allows thermal power plants to use high ash coal,{'air pollution': 1}
96,TOI,2020-04-05,1,1,1,1,http://timesofindia.indiatimes.com//city/bengaluru/coronavirus-in-bengaluru-latest-news-live-updates-on-bengaluru-corona-cases-deaths-05-april-2020/articleshow/74989728.cms,Bengaluru lockdown news: Today's updates from your city,"{'air quality': 2, 'aqi': 1}"
97,TOI,2011-04-25,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/Building-bridges-to-bad-air-noise/articleshow/8075844.cms,"Building bridges to bad air, noise",{'air pollution': 2}
98,TOI,2018-10-18,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/first-red-mark-in-delhi-airs-report-card-and-its-likely-to-get-worse/articleshow/66267219.cms,First red mark in Delhi air’s report card and it’s likely to get worse,"{'air quality': 3, 'aqi': 2, 'pm2.5': 3, 'pm10': 2, 'stubble burning': 2}"
99,Hindu,2018-07-18,0,1,0,0,https://www.thehindu.com/news/cities/chennai/plan-to-restore-pallikaranai-marshland-at-an-advanced-stage-says-corporation-commissioner/article24446775.ece,"Plan to restore Pallikaranai marshland at an advanced stage, says Corporation Commissioner ",{'air pollution': 1}
100,Hindu,2020-12-22,1,1,1,1,https://www.thehindu.com/news/national/karnataka/waste-management-cleaner-transport-key-to-clean-air-plans/article33388605.ece,"Waste management, cleaner transport key to clean air plans ","{'air pollution': 2, 'air quality': 3}"
101,Hindu,2018-07-29,1,1,1,1,https://www.thehindu.com/children/when-priestley-isolated-a-new-air/article24494419.ece,When Priestley isolated a new “air”,{'air quality': 1}
102,Hindu,2021-02-12,1,1,1,1,https://www.thehindu.com/society/can-i-tell-you-a-joke/article33819833.ece,Can I tell you a joke?,"{'air pollution': 1, 'pm2.5': 1, 'pm10': 1}"
103,Hindu,2015-03-11,1,1,1,1,https://www.thehindu.com/news/cities/bangalore/waste-is-a-major-contributor-to-air-pollution-says-expert/article6980112.ece,"Waste is a major contributor to air pollution, says expert",{'air pollution': 1}
104,TOI,2015-08-29,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/Government-works-to-decide-end-of-life-for-vehicles/articleshow/48716943.cms,Government works to decide 'end of life' for vehicles,{'pm 2.5': 1}
105,TOI,2017-03-18,1,1,1,1,http://timesofindia.indiatimes.com//city/noida/hot-mix-plant-ban-stops-road-repair-work-in-noida/articleshow/57697539.cms,Hot-mix plant ban stops road repair work in Noida,"{'air pollution': 1, 'air quality': 1}"
106,TOI,2017-11-12,1,1,1,1,http://timesofindia.indiatimes.com//home/sunday-times/the-quit-delhi-movement/articleshow/61609387.cms,The Quit Delhi Movement?,"{'air pollution': 2, 'air quality': 3, 'smog': 1}"
107,Hindu,2016-11-12,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/Students-write-to-PM-demand-%E2%80%98clean-air-day%E2%80%99/article16443308.ece,"Students write to PM, demand ‘clean air day’","{'air pollution': 2, 'crop burning': 1}"
108,TOI,2011-12-18,1,1,1,1,http://timesofindia.indiatimes.com//city/chandigarh/Dim-view-Kit-yourself-for-sharp-drop-in-visibility/articleshow/11151231.cms,Dim view: Kit yourself for sharp drop in visibility,{'smog': 2}
109,TOI,2018-07-08,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/cbses-paperless-exams-save-50000-trees-rs-100-crore/articleshow/64901379.cms,"By going paperless, CBSE saves 50,000 trees and Rs 100 crore",{'air pollution': 1}
110,TOI,2014-08-23,1,0,0,0,http://timesofindia.indiatimes.com//india/Riot-hit-Saharanpur-prays-for-calm-as-bypoll-looms/articleshow/40728830.cms,Riot-hit Saharanpur prays for calm as bypoll looms,{'acid rain': 1}
111,TOI,2016-12-27,1,1,1,1,http://timesofindia.indiatimes.com//city/gurgaon/Monday-breaks-haze-spell-but-pollution-remains-high/articleshow/56191936.cms,Monday breaks haze spell but pollution remains high,"{'air pollution': 1, 'air quality': 1, 'aqi': 1, 'pm2.5': 4}"
112,TOI,2019-08-28,1,1,1,1,http://timesofindia.indiatimes.com//city/patna/4-new-air-quality-monitoring-stations-in-patna-by-october-sumo/articleshow/70864617.cms,Four new air quality monitoring stations in Patna by October: Sushil Kumar Modi,"{'air pollution': 1, 'air quality': 3, 'pm2.5': 1}"
113,TOI,2018-11-24,1,1,1,1,http://timesofindia.indiatimes.com//city/gurgaon/sirsa-administration-plans-to-penalise-entire-village-for-fault-of-one/articleshow/66778935.cms,Sirsa administration plans to penalise entire village for fault of one,{'stubble burning': 2}
114,Hindu,2015-03-24,1,0,0,0,https://www.thehindu.com/news/national/tamil-nadu/adding-on-to-oxygen-kitty/article7026661.ece,Adding on to oxygen kitty,{'air pollution': 1}
115,TOI,2010-03-24,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/Fog-forces-diversion-of-city-flights/articleshow/5717420.cms,Fog forces diversion of city flights,{'smog': 4}
116,TOI,2019-11-18,1,1,1,1,http://timesofindia.indiatimes.com//city/gurgaon/more-farm-fires-in-punjab-dushyant-chautala/articleshow/72102470.cms,More farm fires in Punjab : Dushyant Chautala,"{'air pollution': 1, 'stubble burning': 3}"
117,TOI,2016-10-27,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/How-to-reduce-noise-pollution-and-have-an-eco-friendly-Deepavali/articleshow/55068972.cms,How to reduce noise pollution and have an eco-friendly Deepavali,{'air pollution': 1}
118,TOI,2019-11-03,1,1,1,1,http://timesofindia.indiatimes.com//city/kolkata/pcb-pushes-for-sat-based-pollution-tracking-lpg-for-chullah-drive-starts/articleshow/71872470.cms,PCB pushes for satellite-based pollution tracking; LPG-for-chullah drive starts in Kolkata,"{'air pollution': 4, 'air quality': 2}"
119,TOI,2014-12-20,1,1,1,1,http://timesofindia.indiatimes.com//city/kolkata/Dist-officers-must-aid-river-clean-up/articleshow/45579921.cms,‘Dist officers must aid river clean-up’,{'air quality': 1}
120,Hindu,2011-11-06,1,1,1,1,https://www.thehindu.com/news/cities/Vijayawada/garbage-disposal-vmc-mulls-green-way/article2603856.ece,Garbage disposal: VMC mulls green way,"{'carbon monoxide': 1, 'sulphur dioxide': 1}"
121,TOI,2011-02-04,1,1,1,1,http://timesofindia.indiatimes.com//city/lucknow/Cancer-in-UP-to-rise-by-56-in-10-yrs-WHO/articleshow/7421668.cms,Cancer in UP to rise by 56% in 10 yrs: WHO,{'air pollution': 1}
122,Hindu,2018-11-08,1,1,1,1,https://www.thehindu.com/opinion/op-ed/advancing-bs-vi-emission-norms/article25438769.ece,Advancing BS-VI emission norms,{'air pollution': 1}
123,TOI,2015-12-20,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/Pre-2005-trucks-cant-enter-Delhi/articleshow/50251450.cms,Pre-2005 trucks can’t enter Delhi,{'air pollution': 1}
124,TOI,2011-01-10,1,1,1,1,http://timesofindia.indiatimes.com//home/science/More-than-a-bike-but-less-than-a-car-A-way-to-beat-traffic-jams/articleshow/7251084.cms,More than a bike but less than a car: A way to beat traffic jams?,{'air quality': 1}
125,Hindu,2017-12-14,1,1,1,1,https://www.thehindu.com/news/cities/bangalore/as-dust-level-rises-so-does-demand-for-mechanical-sweepers-from-residents/article21616607.ece," As dust level rises, so does demand for mechanical sweepers from residents","{'pm 2.5': 1, 'pm 10': 1}"
126,TOI,2017-04-08,1,1,1,1,http://timesofindia.indiatimes.com//citizen-reporter/stories/civic-workers-burn-garbage/articleshow/58075279.cms,Civic workers burn garbage,{'air pollution': 1}
127,Hindu,2018-06-15,1,1,1,1,https://www.thehindu.com/news/cities/chennai/herbal-solution-for-air-pollution/article24173029.ece,‘Herbal’ solution for air pollution?,{'air pollution': 1}
128,TOI,2019-11-05,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/15-lakh-cars-off-road-just-255-fined-as-capital-complies-with-odd-even/articleshow/71913877.cms,"15 lakh cars off road, just 255 fined, as capital complies with odd-even",{'air quality': 1}
129,Hindu,2016-03-27,0,0,1,0,https://www.thehindu.com/features/metroplus/Pedalling-to-glory/article14177984.ece,Pedalling to glory,{'smog': 1}
130,TOI,2015-04-25,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/Experts-urge-Delhi-govt-to-work-out-implementation-plan-to-curb-pollution/articleshow/47044890.cms,Experts urge Delhi govt to work out implementation plan to curb pollution,"{'air pollution': 2, 'air quality': 1, 'pm 2.5': 2}"
131,TOI,2020-01-06,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/young-minds-provide-new-solutions-to-old-problems/articleshow/73114076.cms,Young minds provide new solutions to old problems,"{'air pollution': 2, 'stubble burning': 2}"
132,TOI,2020-11-10,1,1,1,1,http://timesofindia.indiatimes.com//city/agra/3-killed-7-hurt-after-8-vehicles-pile-up-on-yamuna-eway-due-to-smog/articleshow/79135505.cms,"Three killed, 7 hurt after 8 vehicles pile up on Yamuna eway due to smog",{'smog': 2}
133,TOI,2016-02-01,1,0,0,0,http://timesofindia.indiatimes.com//city/ahmedabad/AHMEDABAD-LETS-GET-SMART-Waste-bomb-ticking-at-Pirana/articleshow/50802588.cms,AHMEDABAD LETS GET SMART - Waste bomb ticking at Pirana,{'smog': 1}
134,Hindu,2019-11-18,1,1,1,1,https://www.thehindu.com/news/national/other-states/wbpcb-plans-to-offer-gas-connection-to-roadside-food-vendors/article30005170.ece,WBPCB plans to offer gas connection to roadside food vendors,"{'air pollution': 3, 'air quality': 1}"
135,TOI,2015-11-09,1,1,1,1,http://timesofindia.indiatimes.com//city/noida/Traffic-cops-take-pledge-for-pollution-free-Diwali/articleshow/49717791.cms,Traffic cops take pledge for pollution-free Diwali,{'smog': 1}
136,TOI,2011-12-29,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/Awareness-up-but-more-green-action-needed/articleshow/11286970.cms,Awareness up but more green action needed,{'air pollution': 1}
137,Hindu,2020-11-09,1,1,1,1,https://www.thehindu.com/opinion/op-ed/covid-19-climate-and-carbon-neutrality/article33053563.ece,"COVID-19, climate and carbon neutrality ","{'air pollution': 2, 'ozone': 2}"
138,TOI,2020-11-17,1,1,1,1,http://timesofindia.indiatimes.com//city/ghaziabad/air-quality-improves-from-severe-to-poor-but-may-worsen-again-today/articleshow/79254087.cms,"Air quality improves from severe to poor, but may worsen again today","{'air quality': 6, 'aqi': 10, 'pm2.5': 1, 'stubble burning': 1}"
139,Hindu,2017-03-15,1,1,1,1,https://www.thehindu.com/news/cities/Hyderabad/hyderabad-outranks-rest-of-india-in-quality-of-living/article17463957.ece,Hyderabad outranks rest of India in quality of living,{'air pollution': 1}
140,Hindu,2017-01-21,1,1,1,1,https://www.thehindu.com/news/cities/Hyderabad/TS-to-adopt-South-Korea-tech-to-clean-Musi/article17069958.ece,TS to adopt South Korea tech to clean Musi,{'air pollution': 1}
141,Hindu,2015-05-05,1,1,1,1,https://www.thehindu.com/news/national/karnataka/barely-one-in-10-children-unaffected-by-air-quality/article7172093.ece,Barely one in 10 children unaffected by air quality,"{'air pollution': 2, 'air quality': 1}"
